fish_key,otolith_key,prefix,fish_index,single,selected_view,embedded_file_name,embedded_file_path,not_embedded_file_name,not_embedded_file_path
2022_bias_her_wladyslawowskie_fishindex7,2022_bias_her_wladyslawowskie_fishindex7_single2,2022_BIAS_HER_Wladyslawowskie,FishIndex7,Single2,Left,2022_BIAS_HER_Wladyslawowskie_Embedded_Sharpest_FishIndex7_Single2_Left.jpg,\\192.168.0.200\NPZDR_share\Photo\Otolithes\HER\Processed\2022_BIAS_HER_Wladyslawowskie_Embedded_Sharpest_FishIndex7_Single2_Left.jpg,2022_BIAS_HER_Wladyslawowskie_NotEmbedded_WithoutPostproc_FishIndex7_Single2_Left.jpg,\\192.168.0.200\NPZDR_share\Photo\Otolithes\HER\Processed\2022_BIAS_HER_Wladyslawowskie_NotEmbedded_WithoutPostproc_FishIndex7_Single2_Left.jpg
2022_bias_her_zatokagdanska_fishindex100,2022_bias_her_zatokagdanska_fishindex100_single1,2022_BIAS_HER_ZatokaGdanska,FishIndex100,Single1,Right,2022_BIAS_HER_ZatokaGdanska_Embedded_Sharpest_FishIndex100_Single1_Right.jpg,\\192.168.0.200\NPZDR_share\Photo\Otolithes\HER\Processed\2022_BIAS_HER_ZatokaGdanska_Embedded_Sharpest_FishIndex100_Single1_Right.jpg,2022_BIAS_HER_ZatokaGdanska_NotEmbedded_WithoutPostproc_FishIndex100_Single1_Right.jpg,\\192.168.0.200\NPZDR_share\Photo\Otolithes\HER\Processed\2022_BIAS_HER_ZatokaGdanska_NotEmbedded_WithoutPostproc_FishIndex100_Single1_Right.jpg
2022_bias_her_zatokagdanska_fishindex101,2022_bias_her_zatokagdanska_fishindex101_single2,2022_BIAS_HER_ZatokaGdanska,FishIndex101,Single2,Left,2022_BIAS_HER_ZatokaGdanska_Embedded_Sharpest_FishIndex101_Single2_Left.jpg,\\192.168.0.200\NPZDR_share\Photo\Otolithes\HER\Processed\2022_BIAS_HER_ZatokaGdanska_Embedded_Sharpest_FishIndex101_Single2_Left.jpg,2022_BIAS_HER_ZatokaGdanska_NotEmbedded_WithoutPostproc_FishIndex101_Single2_Left.jpg,\\192.168.0.200\NPZDR_share\Photo\Otolithes\HER\Processed\2022_BIAS_HER_ZatokaGdanska_NotEmbedded_WithoutPostproc_FishIndex101_Single2_Left.jpg
2022_bias_her_zatokagdanska_fishindex105,2022_bias_her_zatokagdanska_fishindex105_single1,2022_BIAS_HER_ZatokaGdanska,FishIndex105,Single1,Left,2022_BIAS_HER_ZatokaGdanska_Embedded_Sharpest_FishIndex105_Single1_Left.jpg,\\192.168.0.200\NPZDR_share\Photo\Otolithes\HER\Processed\2022_BIAS_HER_ZatokaGdanska_Embedded_Sharpest_FishIndex105_Single1_Left.jpg,2022_BIAS_HER_ZatokaGdanska_NotEmbedded_WithoutPostproc_FishIndex105_Single1_Left.jpg,\\192.168.0.200\NPZDR_share\Photo\Otolithes\HER\Processed\2022_BIAS_HER_ZatokaGdanska_NotEmbedded_WithoutPostproc_FishIndex105_Single1_Left.jpg
2022_bias_her_zatokagdanska_fishindex105,2022_bias_her_zatokagdanska_fishindex105_single2,2022_BIAS_HER_ZatokaGdanska,FishIndex105,Single2,Right,2022_BIAS_HER_ZatokaGdanska_Embedded_Sharpest_FishIndex105_Single2_Right.jpg,\\192.168.0.200\NPZDR_share\Photo\Otolithes\HER\Processed\2022_BIAS_HER_ZatokaGdanska_Embedded_Sharpest_FishIndex105_Single2_Right.jpg,2022_BIAS_HER_ZatokaGdanska_NotEmbedded_WithoutPostproc_FishIndex105_Single2_Right.jpg,\\192.168.0.200\NPZDR_share\Photo\Otolithes\HER\Processed\2022_BIAS_HER_ZatokaGdanska_NotEmbedded_WithoutPostproc_FishIndex105_Single2_Right.jpg
2022_bias_her_zatokagdanska_fishindex106,2022_bias_her_zatokagdanska_fishindex106_single1,2022_BIAS_HER_ZatokaGdanska,FishIndex106,Single1,Left,2022_BIAS_HER_ZatokaGdanska_Embedded_Sharpest_FishIndex106_Single1_Left.jpg,\\192.168.0.200\NPZDR_share\Photo\Otolithes\HER\Processed\2022_BIAS_HER_ZatokaGdanska_Embedded_Sharpest_FishIndex106_Single1_Left.jpg,2022_BIAS_HER_ZatokaGdanska_NotEmbedded_WithoutPostproc_FishIndex106_Single1_Left.jpg,\\192.168.0.200\NPZDR_share\Photo\Otolithes\HER\Processed\2022_BIAS_HER_ZatokaGdanska_NotEmbedded_WithoutPostproc_FishIndex106_Single1_Left.jpg
2022_bias_her_zatokagdanska_fishindex106,2022_bias_her_zatokagdanska_fishindex106_single2,2022_BIAS_HER_ZatokaGdanska,FishIndex106,Single2,Right,2022_BIAS_HER_ZatokaGdanska_Embedded_Sharpest_FishIndex106_Single2_Right.jpg,\\192.168.0.200\NPZDR_share\Photo\Otolithes\HER\Processed\2022_BIAS_HER_ZatokaGdanska_Embedded_Sharpest_FishIndex106_Single2_Right.jpg,2022_BIAS_HER_ZatokaGdanska_NotEmbedded_WithoutPostproc_FishIndex106_Single2_Right.jpg,\\192.168.0.200\NPZDR_share\Photo\Otolithes\HER\Processed\2022_BIAS_HER_ZatokaGdanska_NotEmbedded_WithoutPostproc_FishIndex106_Single2_Right.jpg
2022_bias_her_zatokagdanska_fishindex108,2022_bias_her_zatokagdanska_fishindex108_single1,2022_BIAS_HER_ZatokaGdanska,FishIndex108,Single1,Right,2022_BIAS_HER_ZatokaGdanska_Embedded_Sharpest_FishIndex108_Single1_Right.jpg,\\192.168.0.200\NPZDR_share\Photo\Otolithes\HER\Processed\2022_BIAS_HER_ZatokaGdanska_Embedded_Sharpest_FishIndex108_Single1_Right.jpg,2022_BIAS_HER_ZatokaGdanska_NotEmbedded_WithoutPostproc_FishIndex108_Single1_Right.jpg,\\192.168.0.200\NPZDR_share\Photo\Otolithes\HER\Processed\2022_BIAS_HER_ZatokaGdanska_NotEmbedded_WithoutPostproc_FishIndex108_Single1_Right.jpg
2022_bias_her_zatokagdanska_fishindex108,2022_bias_her_zatokagdanska_fishindex108_single2,2022_BIAS_HER_ZatokaGdanska,FishIndex108,Single2,Left,2022_BIAS_HER_ZatokaGdanska_Embedded_Sharpest_FishIndex108_Single2_Left.jpg,\\192.168.0.200\NPZDR_share\Photo\Otolithes\HER\Processed\2022_BIAS_HER_ZatokaGdanska_Embedded_Sharpest_FishIndex108_Single2_Left.jpg,2022_BIAS_HER_ZatokaGdanska_NotEmbedded_WithoutPostproc_FishIndex108_Single2_Left.jpg,\\192.168.0.200\NPZDR_share\Photo\Otolithes\HER\Processed\2022_BIAS_HER_ZatokaGdanska_NotEmbedded_WithoutPostproc_FishIndex108_Single2_Left.jpg
2022_bias_her_zatokagdanska_fishindex109,2022_bias_her_zatokagdanska_fishindex109_single1,2022_BIAS_HER_ZatokaGdanska,FishIndex109,Single1,Right,2022_BIAS_HER_ZatokaGdanska_Embedded_Sharpest_FishIndex109_Single1_Right.jpg,\\192.168.0.200\NPZDR_share\Photo\Otolithes\HER\Processed\2022_BIAS_HER_ZatokaGdanska_Embedded_Sharpest_FishIndex109_Single1_Right.jpg,2022_BIAS_HER_ZatokaGdanska_NotEmbedded_WithoutPostproc_FishIndex109_Single1_Right.jpg,\\192.168.0.200\NPZDR_share\Photo\Otolithes\HER\Processed\2022_BIAS_HER_ZatokaGdanska_NotEmbedded_WithoutPostproc_FishIndex109_Single1_Right.jpg
2022_bias_her_zatokagdanska_fishindex109,2022_bias_her_zatokagdanska_fishindex109_single2,2022_BIAS_HER_ZatokaGdanska,FishIndex109,Single2,Left,2022_BIAS_HER_ZatokaGdanska_Embedded_Sharpest_FishIndex109_Single2_Left.jpg,\\192.168.0.200\NPZDR_share\Photo\Otolithes\HER\Processed\2022_BIAS_HER_ZatokaGdanska_Embedded_Sharpest_FishIndex109_Single2_Left.jpg,2022_BIAS_HER_ZatokaGdanska_NotEmbedded_WithoutPostproc_FishIndex109_Single2_Left.jpg,\\192.168.0.200\NPZDR_share\Photo\Otolithes\HER\Processed\2022_BIAS_HER_ZatokaGdanska_NotEmbedded_WithoutPostproc_FishIndex109_Single2_Left.jpg
2022_bias_her_zatokagdanska_fishindex11,2022_bias_her_zatokagdanska_fishindex11_single1,2022_BIAS_HER_ZatokaGdanska,FishIndex11,Single1,Left,2022_BIAS_HER_ZatokaGdanska_Embedded_Sharpest_FishIndex11_Single1_Left.jpg,\\192.168.0.200\NPZDR_share\Photo\Otolithes\HER\Processed\2022_BIAS_HER_ZatokaGdanska_Embedded_Sharpest_FishIndex11_Single1_Left.jpg,2022_BIAS_HER_ZatokaGdanska_NotEmbedded_WithoutPostproc_FishIndex11_Single1_Left.jpg,\\192.168.0.200\NPZDR_share\Photo\Otolithes\HER\Processed\2022_BIAS_HER_ZatokaGdanska_NotEmbedded_WithoutPostproc_FishIndex11_Single1_Left.jpg
2022_bias_her_zatokagdanska_fishindex11,2022_bias_her_zatokagdanska_fishindex11_single2,2022_BIAS_HER_ZatokaGdanska,FishIndex11,Single2,Right,2022_BIAS_HER_ZatokaGdanska_Embedded_Sharpest_FishIndex11_Single2_Right.jpg,\\192.168.0.200\NPZDR_share\Photo\Otolithes\HER\Processed\2022_BIAS_HER_ZatokaGdanska_Embedded_Sharpest_FishIndex11_Single2_Right.jpg,2022_BIAS_HER_ZatokaGdanska_NotEmbedded_WithoutPostproc_FishIndex11_Single2_Right.jpg,\\192.168.0.200\NPZDR_share\Photo\Otolithes\HER\Processed\2022_BIAS_HER_ZatokaGdanska_NotEmbedded_WithoutPostproc_FishIndex11_Single2_Right.jpg
2022_bias_her_zatokagdanska_fishindex110,2022_bias_her_zatokagdanska_fishindex110_single1,2022_BIAS_HER_ZatokaGdanska,FishIndex110,Single1,Left,2022_BIAS_HER_ZatokaGdanska_Embedded_Sharpest_FishIndex110_Single1_Left.jpg,\\192.168.0.200\NPZDR_share\Photo\Otolithes\HER\Processed\2022_BIAS_HER_ZatokaGdanska_Embedded_Sharpest_FishIndex110_Single1_Left.jpg,2022_BIAS_HER_ZatokaGdanska_NotEmbedded_WithoutPostproc_FishIndex110_Single1_Left.jpg,\\192.168.0.200\NPZDR_share\Photo\Otolithes\HER\Processed\2022_BIAS_HER_ZatokaGdanska_NotEmbedded_WithoutPostproc_FishIndex110_Single1_Left.jpg
2022_bias_her_zatokagdanska_fishindex110,2022_bias_her_zatokagdanska_fishindex110_single2,2022_BIAS_HER_ZatokaGdanska,FishIndex110,Single2,Right,2022_BIAS_HER_ZatokaGdanska_Embedded_Sharpest_FishIndex110_Single2_Right.jpg,\\192.168.0.200\NPZDR_share\Photo\Otolithes\HER\Processed\2022_BIAS_HER_ZatokaGdanska_Embedded_Sharpest_FishIndex110_Single2_Right.jpg,2022_BIAS_HER_ZatokaGdanska_NotEmbedded_WithoutPostproc_FishIndex110_Single2_Right.jpg,\\192.168.0.200\NPZDR_share\Photo\Otolithes\HER\Processed\2022_BIAS_HER_ZatokaGdanska_NotEmbedded_WithoutPostproc_FishIndex110_Single2_Right.jpg
2022_bias_her_zatokagdanska_fishindex114,2022_bias_her_zatokagdanska_fishindex114_single1,2022_BIAS_HER_ZatokaGdanska,FishIndex114,Single1,Right,2022_BIAS_HER_ZatokaGdanska_Embedded_Sharpest_FishIndex114_Single1_Right.jpg,\\192.168.0.200\NPZDR_share\Photo\Otolithes\HER\Processed\2022_BIAS_HER_ZatokaGdanska_Embedded_Sharpest_FishIndex114_Single1_Right.jpg,2022_BIAS_HER_ZatokaGdanska_NotEmbedded_WithoutPostproc_FishIndex114_Single1_Right.jpg,\\192.168.0.200\NPZDR_share\Photo\Otolithes\HER\Processed\2022_BIAS_HER_ZatokaGdanska_NotEmbedded_WithoutPostproc_FishIndex114_Single1_Right.jpg
